Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Rouge,255,N 43.81825°,O 079.13425°,1,1346,1,1,1,,,,,
Rouge,256,N 43.81829°,O 079.13401°,50,1347,0,1,0,,,,,
Rouge,257,N 43.81834°,O 079.13379°,4,1348,1,1,1,,,,,
Rouge,258,N 43.81852°,O 079.13320°,0,1349,0,1,0,,,,,
Rouge,259,N 43.81857°,O 079.13293°,0,1350,0,1,0,,,,,
Rouge,260,N 43.81861°,O 079.13271°,2,1351,0,1,0,,,,,
Rouge,261,N 43.81868°,O 079.13248°,12,1352,0,1,0,,,,,
Rouge,262,N 43.81872°,O 079.13225°,43,1353,0,1,0,,,,,
Rouge,263,N 43.81877°,O 079.13200°,0,1354,0,0,1,,,,,
Rouge,264,N 43.81881°,O 079.13180°,0,1355,1,1,1,,,,,
Rouge,265,N 43.81885°,O 079.13157°,0,1356,0,1,0,,,,,
Rouge,266,N 43.81888°,O 079.13131°,0,1357,1,1,1,,,,,
Rouge,267,N 43.81906°,O 079.13120°,0,1358,0,1,0,,,,,
Rouge,268,N 43.81912°,O 079.13090°,0,1359,1,1,1,,,,,
Rouge,269,N 43.81921°,O 079.13065°,0,1360,0,1,0,,,,,
Rouge,270,N 43.81925°,O 079.13033°,0,1361,1,1,1,,,,,
Rouge,271,N 43.81930°,O 079.13010°,0,1362,1,1,1,,,,,
Rouge,272,N 43.81937°,O 079.12986°,0,1363,1,1,1,,,,,
Rouge,273,N 43.81942°,O 079.12952°,2,1364,1,1,1,,,,,
Rouge,274,N 43.81947°,O 079.12924°,8,1365,1,1,1,,,,,
Rouge,275,N 43.81943°,O 079.12895°,0,1366,0,0,0,,,,,
Rouge,276,N 43.81950°,O 079.12877°,0,1367,0,1,0,,,,,
Rouge,277,N 43.81925°,O 079.12856°,0,1368,0,0,0,,,,,
Rouge,278,N 43.81957°,O 079.12834°,0,1369,0,1,0,,,,,
Rouge,279,N 43.81963°,O 079.12809°,0,1370,0,1,0,,,,,
Rouge,280,N 43.81968°,O 079.12790°,0,1371,0,1,0,,,,,
Rouge,281,N 43.81973°,O 079.12765°,0,1372,0,1,0,,,,,
Rouge,282,N 43.81974°,O 079.12744°,0,1373,0,1,0,,,,,
Rouge,283,N 43.81981°,O 079.12722°,0,1374,0,0,0,,,,,
Rouge,284,N 43.81984°,O 079.12692°,0,1375,1,1,1,,,,,
Rouge,285,N 43.81989°,O 079.12678°,2,1376,1,1,1,,,,,
Rouge,286,N 43.81991°,O 079.12661°,0,1377,0,1,0,,,,,
Rouge,287,N 43.81995°,O 079.12641°,0,1378,0,1,0,,,,,
Rouge,288,N 43.82005°,O 079.12607°,0,1379,0,0,0,,,,,
