Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Humber,147,N 43.64275°,O 079.51659°,2,460,0,1,0,128.28,185.72,40.85350318,59.14649682,,,,,,,,,,,,,
Humber,148,N 43.64271°,O 079.51685°,0,461,0,1,0,132.26,181.74,42.12101911,57.87898089,,,,,,,,,,,,,
Humber,149,N 43.64264°,O 079.51709°,0,462,1,1,1,194.71,119.29,62.00955414,37.99044586,,,,,,,,,,,,,
Humber,150,N 43.64261°,O 079.51733°,0,463,0,1,0,145.3,168.7,46.27388535,53.72611465,,,,,,,,,,,,,
Humber,151,N 43.64259°,O 079.51759°,0,464,1,1,1,143.2,170.8,45.60509554,54.39490446,,,,,,,,,,,,,
Humber,152,N 43.64252°,O 079.51784°,0,465,0,1,0,204.3,109.7,65.06369427,34.93630573,,,,,,,,,,,,,
Humber,153,N 43.64238°,O 079.51803°,0,466,1,1,1,95.85,218.15,30.52547771,69.47452229,,,,,,,,,,,,,
Humber,154,N 43.64233°,O 079.51829°,3,467,0,1,0,126.83,187.17,40.39171975,59.60828025,,,,,,,,,,,,,
Humber,155,N 43.64227°,O 079.51852°,0,468,0,1,0,162.83,151.17,51.8566879,48.1433121,,,,,,,,,,,,,
Humber,156,N 43.64220°,O 079.51878°,0,469,0,0,0,118.56,195.44,37.75796178,62.24203822,,,,,,,,,,,,,
Humber,157,N 43.64227°,O 079.51906°,0,470,0,0,1,174.67,139.33,55.62738854,44.37261146,,,,,,,,,,,,,
Humber,158,N 43.64211°,O 079.51923°,0,471,0,1,0,135.8,178.2,43.24840764,56.75159236,,,,,,,,,,,,,
Humber,159,N 43.64206°,O 079.51949°,0,472,0,1,0,94.16,219.84,29.98726115,70.01273885,,,,,,,,,,,,,
Humber,160,N 43.64202°,O 079.51974°,2,473,0,1,0,126.83,187.17,40.39171975,59.60828025,,,,,,,,,,,,,
Humber,161,N 43.64197°,O 079.51997°,2,474,0,0,0,161.82,152.18,51.53503185,48.46496815,,,,,,,,,,,,,
Humber,162,N 43.64197°,O 079.52031°,1,475,1,1,1,202.79,111.21,64.58280255,35.41719745,,,,,,,,,,,,,
Humber,163,N 43.64183°,O 079.52058°,2,476,0,1,0,150.95,163.05,48.07324841,51.92675159,,,,,,,,,,,,,
Humber,164,N 43.64182°,O 079.52082°,0,477,0,1,0,169.74,144.26,54.05732484,45.94267516,,,,,,,,,,,,,
Humber,165,N 43.64172°,O 079.52099°,0,478,1,1,1,123.9,190.1,39.45859873,60.54140127,,,,,,,,,,,,,
Humber,166,N 43.64174°,O 079.52130°,0,479,1,1,1,124.47,189.53,39.64012739,60.35987261,,,,,,,,,,,,,
Humber,167,N 43.64160°,O 079.52155°,0,480,1,1,1,163.68,150.32,52.12738854,47.87261146,,,,,,,,,,,,,
Humber,168,N 43.64151°,O 079.52179°,0,481,0,1,0,135.72,178.28,43.22292994,56.77707006,,,,,,,,,,,,,
Humber,169,N 43.64136°,O 079.52189°,0,482,1,1,1,144.14,169.86,45.9044586,54.0955414,,,,,,,,,,,,,
Humber,170,N 43.64140°,O 079.52213°,0,483,0,1,0,95.63,218.37,30.45541401,69.54458599,,,,,,,,,,,,,
Humber,171,N 43.64149°,O 079.52229°,3,484,0,1,0,99.48,214.52,31.68152866,68.31847134,,,,,,,,,,,,,
Humber,172,N 43.64141°,O 079.52255°,0,485,0,1,0,110.47,203.53,35.18152866,64.81847134,,,,,,,,,,,,,
Humber,173,N 43.64133°,O 079.52282°,4,486,1,1,1,139.64,174.36,44.47133758,55.52866242,,,,,,,,,,,,,
Humber,174,N 43.64130°,O 079.52311°,0,487,1,1,1,107.41,206.59,34.20700637,65.79299363,,,,,,,,,,,,,
Humber,175,N 43.64125°,O 079.52335°,6,488,1,1,1,114.03,199.97,36.31528662,63.68471338,,,,,,,,,,,,,
Humber,176,N 43.64118°,O 079.52364°,4,489,1,1,1,142.36,171.64,45.33757962,54.66242038,,,,,,,,,,,,,
Humber,177,N 43.64112°,O 079.52395°,0,490,0,1,0,111.75,202.25,35.58917197,64.41082803,,,,,,,,,,,,,
Humber,178,N 43.64114°,O 079.52428°,0,491,1,1,1,143.23,170.77,45.61464968,54.38535032,,,,,,,,,,,,,
Humber,179,N 43.64099°,O 079.52448°,1,492,0,1,0,170.63,143.37,54.34076433,45.65923567,,,,,,,,,,,,,
Humber,180,N 43.64089°,O 079.52472°,4,493,1,1,1,136.79,177.21,43.56369427,56.43630573,,,,,,,,,,,,,
Humber,181,N 43.64089°,O 079.52495°,0,494,0,0,0,174.04,139.96,55.42675159,44.57324841,,,,,,,,,,,,,
Humber,182,N 43.64082°,O 079.52521°,0,495,1,1,1,107,207,34.07643312,65.92356688,,,,,,,,,,,,,
Humber,183,N 43.64076°,O 079.52550°,0,496,1,1,1,121.99,192.01,38.85031847,61.14968153,,,,,,,,,,,,,
Humber,184,N 43.64071°,O 079.52573°,0,497,0,1,0,141.58,172.42,45.08917197,54.91082803,,,,,,,,,,,,,
Humber,185,N 43.64063°,O 079.52599°,2,498,1,1,1,122.21,191.79,38.92038217,61.07961783,,,,,,,,,,,,,
Humber,186,N 43.64056°,O 079.52629°,0,499,1,1,1,139.36,174.64,44.38216561,55.61783439,,,,,,,,,,,,,
Humber,187,N 43.64051°,O 079.52656°,0,500,0,1,0,105.41,208.59,33.57006369,66.42993631,,,,,,,,,,,,,
Humber,188,N 43.64048°,O 079.52681°,0,501,1,1,1,124.14,189.86,39.53503185,60.46496815,,,,,,,,,,,,,
Humber,189,N 43.64041°,O 079.52704°,0,502,1,1,1,139.97,174.03,44.57643312,55.42356688,,,,,,,,,,,,,
Humber,190,N 43.64035°,O 079.52729°,0,503,0,1,0,144.33,169.67,45.96496815,54.03503185,,,,,,,,,,,,,
Humber,191,N 43.64028°,O 079.52750°,0,504,0,0,0,162.26,151.74,51.67515924,48.32484076,,,,,,,,,,,,,
Humber,192,N 43.64027°,O 079.52776°,0,505,0,1,0,145.68,168.32,46.39490446,53.60509554,,,,,,,,,,,,,
Humber,193,N 43.65076°,O 079.48972°,0,506,0,1,0,284.45,29.55,90.58917197,9.410828025,,,,,,,,,,,,,
Humber,194,N 43.65081°,O 079.48944°,0,507,0,0,0,150.29,163.71,47.86305732,52.13694268,,,,,,,,,,,,,
Humber,195,N 43.65092°,O 079.48892°,0,508,0,1,0,97.62,216.38,31.08917197,68.91082803,,,,,,,,,,,,,
Humber,196,N 43.65097°,O 079.48859°,0,509,0,0,1,88.5,225.5,28.18471338,71.81528662,,,,,,,,,,,,,
Humber,197,N 43.65111°,O 079.48808°,0,510,0,1,0,163.53,150.47,52.07961783,47.92038217,,,,,,,,,,,,,
Humber,198,N 43.65121°,O 079.48759°,0,511,1,1,1,314,0,100,0,,,,,,,,,,,,,
Humber,199,N 43.65145°,O 079.48750°,0,512,1,1,1,153.65,160.35,48.93312102,51.06687898,,,,,,,,,,,,,
Humber,200,N 43.65123°,O 079.48707°,0,513,1,1,1,127.92,186.08,40.7388535,59.2611465,,,,,,,,,,,,,
Humber,201,N 43.65136°,O 079.48669°,0,514,1,1,1,59.42,254.58,18.92356688,81.07643312,,,,,,,,,,,,,
Humber,202,N 43.65143°,O 079.48647°,0,515,0,0,0,94.11,219.89,29.97133758,70.02866242,,,,,,,,,,,,,
Humber,203,N 43.65145°,O 079.48624°,0,516,1,1,1,86.1,227.9,27.42038217,72.57961783,,,,,,,,,,,,,
Humber,204,N 43.65157°,O 079.48609°,0,517,1,1,1,68.9,245.1,21.94267516,78.05732484,,,,,,,,,,,,,
Humber,205,N 43.65165°,O 079.48583°,0,518,0,0,1,69.46,244.54,22.12101911,77.87898089,,,,,,,,,,,,,
Humber,206,N 43.65201°,O 079.48571°,0,519,0,0,1,148.21,165.79,47.20063694,52.79936306,,,,,,,,,,,,,
Humber,207,N 43.65242°,O 079.48591°,0,520,1,1,1,54.85,259.15,17.46815287,82.53184713,,,,,,,,,,,,,
Humber,208,N 43.65258°,O 079.48595°,0,521,0,1,0,104.15,209.85,33.16878981,66.83121019,,,,,,,,,,,,,
Humber,209,N 43.65282°,O 079.48605°,0,522,0,0,0,42.8,271.2,13.63057325,86.36942675,,,,,,,,,,,,,
Humber,210,N 43.65310°,O 079.48611°,0,523,0,1,0,51.77,262.23,16.48726115,83.51273885,,,,,,,,,,,,,
